ThreadID: 13, Smelter: 0, Transporter: 1, Constructor: 1, Action: TRANSPORTER_DROP_INGOT, TimeStamp: 287.135600 ms.
ThreadID: 14, Smelter: 1, Transporter: 2, Constructor: 0, Action: TRANSPORTER_TRAVEL, TimeStamp: 287.371300 ms.
ThreadID: 11, Smelter: 1, Transporter: 0, Constructor: 0, Action: SMELTER_STOPPED, TimeStamp: 288.132400 ms.
ThreadID: 14, Smelter: 1, Transporter: 2, Constructor: 0, Action: TRANSPORTER_TAKE_INGOT, TimeStamp: 298.128000 ms.
ThreadID: 13, Smelter: 0, Transporter: 1, Constructor: 0, Action: TRANSPORTER_STOPPED, TimeStamp: 298.325800 ms.
ThreadID: 14, Smelter: 0, Transporter: 2, Constructor: 1, Action: TRANSPORTER_TRAVEL, TimeStamp: 309.137500 ms.
ThreadID: 14, Smelter: 0, Transporter: 2, Constructor: 1, Action: TRANSPORTER_DROP_INGOT, TimeStamp: 320.121700 ms.
ThreadID: 12, Smelter: 0, Transporter: 0, Constructor: 1, Action: CONSTRUCTOR_STARTED, TimeStamp: 322.224000 ms.
ThreadID: 14, Smelter: 0, Transporter: 2, Constructor: 0, Action: TRANSPORTER_STOPPED, TimeStamp: 330.127700 ms.
ThreadID: 12, Smelter: 0, Transporter: 0, Constructor: 1, Action: CONSTRUCTOR_FINISHED, TimeStamp: 372.261800 ms.
ThreadID: 12, Smelter: 0, Transporter: 0, Constructor: 1, Action: CONSTRUCTOR_STARTED, TimeStamp: 422.553400 ms.
ThreadID: 12, Smelter: 0, Transporter: 0, Constructor: 1, Action: CONSTRUCTOR_FINISHED, TimeStamp: 472.731100 ms.
ThreadID: 12, Smelter: 0, Transporter: 0, Constructor: 1, Action: CONSTRUCTOR_STARTED, TimeStamp: 522.884900 ms.
ThreadID: 12, Smelter: 0, Transporter: 0, Constructor: 1, Action: CONSTRUCTOR_FINISHED, TimeStamp: 573.814500 ms.
ThreadID: 12, Smelter: 0, Transporter: 0, Constructor: 1, Action: CONSTRUCTOR_STARTED, TimeStamp: 624.793800 ms.
ThreadID: 12, Smelter: 0, Transporter: 0, Constructor: 1, Action: CONSTRUCTOR_FINISHED, TimeStamp: 675.743800 ms.
ThreadID: 12, Smelter: 0, Transporter: 0, Constructor: 1, Action: CONSTRUCTOR_STARTED, TimeStamp: 725.133100 ms.
ThreadID: 12, Smelter: 0, Transporter: 0, Constructor: 1, Action: CONSTRUCTOR_FINISHED, TimeStamp: 775.524700 ms.
ThreadID: 12, Smelter: 0, Transporter: 0, Constructor: 1, Action: CONSTRUCTOR_STARTED, TimeStamp: 825.768700 ms.
ThreadID: 12, Smelter: 0, Transporter: 0, Constructor: 1, Action: CONSTRUCTOR_FINISHED, TimeStamp: 875.910500 ms.
ThreadID: 12, Smelter: 0, Transporter: 0, Constructor: 1, Action: CONSTRUCTOR_STARTED, TimeStamp: 926.027200 ms.
ThreadID: 12, Smelter: 0, Transporter: 0, Constructor: 1, Action: CONSTRUCTOR_FINISHED, TimeStamp: 977.007400 ms.
ThreadID: 12, Smelter: 0, Transporter: 0, Constructor: 1, Action: CONSTRUCTOR_STARTED, TimeStamp: 1027.215400 ms.
ThreadID: 12, Smelter: 0, Transporter: 0, Constructor: 1, Action: CONSTRUCTOR_FINISHED, TimeStamp: 1077.209800 ms.
ThreadID: 12, Smelter: 0, Transporter: 0, Constructor: 1, Action: CONSTRUCTOR_STARTED, TimeStamp: 1126.462200 ms.
ThreadID: 12, Smelter: 0, Transporter: 0, Constructor: 1, Action: CONSTRUCTOR_FINISHED, TimeStamp: 1176.580400 ms.
ThreadID: 12, Smelter: 0, Transporter: 0, Constructor: 1, Action: CONSTRUCTOR_STOPPED, TimeStamp: 4227.855200 ms.
